Date,High,Low,Open,Close,Volume,Adj Close,Price
2021-11-02,129444.9453125,126926.5625,126926.5625,128941.2734375,1630388.0,128881.0625,0
2021-11-03,129444.9453125,124408.1796875,128941.2734375,125415.53125,2916359.0,125356.96875,1
2021-11-04,131459.65625,126422.890625,126926.5625,130955.9765625,5957289.0,130894.828125,0
2021-11-05,131963.328125,127430.2421875,131963.328125,129444.9453125,2790207.0,129384.5,0
2021-11-08,129444.9453125,123904.5,129444.9453125,125919.2109375,3997502.0,125860.4140625,1
2021-11-09,127933.9140625,125415.53125,125415.53125,126422.890625,1976355.0,126363.859375,0
2021-11-10,128437.59375,124408.1796875,126422.890625,124911.859375,1587221.0,124853.53125,1
2021-11-11,126422.890625,122393.46875,123904.5,126422.890625,1941096.0,126363.859375,1
2021-11-12,128941.2734375,125415.53125,126926.5625,127933.9140625,2085325.0,127874.1796875,1
2021-11-15,130452.3046875,127933.9140625,127933.9140625,129948.625,1701656.0,129887.9453125,0
2021-11-16,130955.9765625,127933.9140625,129948.625,128437.59375,1579772.0,128377.6171875,0
2021-11-17,129948.625,125919.2109375,128941.2734375,125919.2109375,1663424.0,125860.4140625,0
2021-11-18,126926.5625,123904.5,125919.2109375,125415.53125,1532653.0,125356.96875,1
2021-11-19,128437.59375,125415.53125,125919.2109375,127933.9140625,1501254.0,127874.1796875,1
2021-11-22,129948.625,126422.890625,127933.9140625,129444.9453125,2197132.0,129384.5,0
2021-11-23,128941.2734375,124911.859375,128437.59375,125415.53125,1966737.0,125356.96875,0
2021-11-24,126422.890625,124408.1796875,125415.53125,125415.53125,1577436.0,125356.96875,1
2021-11-25,129444.9453125,125415.53125,125919.2109375,128941.2734375,2885127.0,128881.0625,0
2021-11-26,129444.9453125,125919.2109375,128437.59375,126422.890625,1666783.0,126363.859375,0
2021-11-29,126422.890625,122897.1484375,123904.5,123904.5,2016654.0,123846.640625,0
2021-11-30,125415.53125,122393.46875,124911.859375,122897.1484375,3779416.0,122839.765625,1
2021-12-01,124408.1796875,121889.796875,122393.46875,123400.828125,1471758.0,123343.203125,0
2021-12-02,123904.5,120882.4453125,122393.46875,123400.828125,2013295.0,123343.203125,1
2021-12-03,124911.859375,122393.46875,122897.1484375,124408.1796875,1478033.0,124350.0859375,0
2021-12-06,123400.828125,121386.1171875,123400.828125,121889.796875,1466611.0,121832.8828125,0
2021-12-07,122897.1484375,120882.4453125,122393.46875,121386.1171875,1209843.0,121329.4375,1
2021-12-08,124408.1796875,121386.1171875,122393.46875,121889.796875,2271491.0,121832.8828125,1
2021-12-09,123400.828125,120882.4453125,121386.1171875,123400.828125,2321769.0,123343.203125,0
2021-12-10,123400.828125,121889.796875,122897.1484375,123400.828125,967270.0,123343.203125,0
2021-12-13,123904.5,120882.4453125,123904.5,120882.4453125,1394831.0,120826.0,0
